Years,Total Citations per Year,Keyword_SEI,Keyword_cathode,Keyword_anode,Keyword_Efficiency,Keyword_electrode,Ci_5IPub,EV_Sales
1997.0,3819.0,787.0,183.0,635.0,0.0,1230.0,3564.0,0
1998.0,11862.0,1641.0,870.0,1832.0,0.0,2161.0,11036.0,0
1999.0,12632.0,3726.0,469.0,2120.0,49.0,3697.0,11735.0,17
2000.0,18320.0,1612.0,309.0,11235.0,0.0,10986.0,17070.0,9350
2001.0,25058.0,7802.0,5536.0,6234.0,176.0,5795.0,22078.0,20282
2002.0,23792.0,6552.0,3572.0,4739.0,7.0,7108.0,21639.0,36042
2003.0,24569.0,10066.0,2250.0,6302.0,323.0,4616.0,23795.0,47566
2004.0,27065.0,11537.0,4260.0,7379.0,601.0,8598.0,25157.0,84233
2005.0,31693.0,8870.0,3508.0,5533.0,0.0,5693.0,29734.0,205876
2006.0,42911.0,13445.0,5101.0,8163.0,247.0,13573.0,36222.0,251864
2007.0,37763.0,9248.0,4951.0,9283.0,756.0,11843.0,34395.0,351071
2008.0,55467.0,18696.0,7876.0,23874.0,746.0,13625.0,47382.0,315763
2009.0,22914.0,10302.0,2912.0,8758.0,2074.0,4507.0,19595.0,290273
2010.0,36535.0,14970.0,2688.0,20245.0,156.0,7465.0,32623.0,274648
2011.0,36645.0,12914.0,6110.0,12133.0,1997.0,8072.0,30934.0,284264
2012.0,48879.0,17777.0,4432.0,22359.0,3139.0,15371.0,42813.0,487819
2013.0,46804.0,17964.0,8520.0,17380.0,2779.0,7112.0,42468.0,592637
2014.0,41621.0,15891.0,6025.0,21083.0,416.0,7361.0,38574.0,571054
2015.0,28485.0,13883.0,1322.0,9186.0,1802.0,6705.0,25135.0,498423
2016.0,26364.0,10504.0,2344.0,10425.0,796.0,4009.0,24045.0,506565
2017.0,22815.0,11551.0,998.0,12521.0,1838.0,4021.0,19013.0,558449
2018.0,13577.0,7016.0,1185.0,7083.0,523.0,2233.0,12852.0,704534
2019.0,2686.0,1481.0,182.0,1226.0,76.0,249.0,2580.0,727390
